Text,Domain,Service,BLEU,METEOR,BERT-Precision,BERT-Recall,BERT-F1
agri_1,Agriculture,Google Translate,29.98785862367472,0.6928833446986621,0.9029949903488159,0.885550320148468,0.8941875696182251
agri_1,Agriculture,DeepL,24.343635070719603,0.676338418413603,0.8924871683120728,0.879389226436615,0.8858898282051086
agri_1,Agriculture,Yandex Translate,26.10125097070172,0.6643778661453286,0.9005568027496338,0.8806481957435608,0.890491247177124
agri_1,Agriculture,Microsoft Translator,30.74312883076291,0.73770664262098,0.9018331170082092,0.8919720649719238,0.8968755006790161
agri_1,Agriculture,Reverso,15.081629755190813,0.5501826944949955,0.8220652341842651,0.7903643846511841,0.8059031963348389
agri_2,Agriculture,Google Translate,27.571915695761962,0.6144927807753797,0.8796937465667725,0.8272809386253357,0.8526826500892639
agri_2,Agriculture,DeepL,29.766802236208438,0.609524593970226,0.8764077425003052,0.829413652420044,0.8522633910179138
agri_2,Agriculture,Yandex Translate,27.30603948814737,0.6282832704741379,0.8748895525932312,0.828493058681488,0.8510594367980957
agri_2,Agriculture,Microsoft Translator,22.672877442300422,0.6065113398748527,0.876763105392456,0.8238906264305115,0.8495049476623535
agri_2,Agriculture,Reverso,16.581359317226664,0.5253246931877185,0.8387524485588074,0.7989440560340881,0.8183644413948059
fiction_1,Fiction,Google Translate,15.677963549996624,0.3791032084796133,0.8052420616149902,0.7795124650001526,0.7921684384346008
fiction_1,Fiction,DeepL,14.959899997223774,0.3772222627589282,0.78415846824646,0.7613637447357178,0.7725929617881775
fiction_1,Fiction,Yandex Translate,7.478109881672314,0.33034276218379366,0.8082674741744995,0.7914668321609497,0.799778938293457
fiction_1,Fiction,Microsoft Translator,15.393587075563435,0.40176201804838807,0.787530243396759,0.7677178382873535,0.7774978876113892
fiction_1,Fiction,Reverso,2.0588183075575484,0.27362010830283207,0.7422903776168823,0.7281813025474548,0.7351682186126709
fiction_2,Fiction,Google Translate,2.4589222080523583,0.4220466649657965,0.8471781611442566,0.8486950397491455,0.8479359149932861
fiction_2,Fiction,DeepL,3.265008720579094,0.37783436145825716,0.8214437961578369,0.826585054397583,0.8240063786506653
fiction_2,Fiction,Yandex Translate,2.337470133247996,0.3889055536560052,0.8246620297431946,0.8250966668128967,0.8248792886734009
fiction_2,Fiction,Microsoft Translator,9.762999735452965,0.46753002146020733,0.8321095705032349,0.8316352367401123,0.8318723440170288
fiction_2,Fiction,Reverso,6.497325565093456,0.41164507553476243,0.8082427978515625,0.7974643111228943,0.8028173446655273
legal_1,Law,Google Translate,24.61819028831668,0.6146572104018913,0.8590930700302124,0.8675082921981812,0.863280177116394
legal_1,Law,DeepL,19.34005378959855,0.562760147601476,0.8443155288696289,0.8428627848625183,0.8435885310173035
legal_1,Law,Yandex Translate,26.317325875609825,0.614089135346067,0.8583430051803589,0.8682025074958801,0.8632445335388184
legal_1,Law,Microsoft Translator,26.865760576569304,0.5835902479620206,0.8705297708511353,0.8682370781898499,0.8693819046020508
legal_1,Law,Reverso,26.094008804937268,0.5450297566057904,0.8600141406059265,0.8571946620941162,0.8586020469665527
legal_2,Law,Google Translate,51.36355134546724,0.7596177600698039,0.9026690125465393,0.9241942763328552,0.9133048057556152
legal_2,Law,DeepL,47.354410519366716,0.7015233743877243,0.8864842057228088,0.9105367660522461,0.8983495831489563
legal_2,Law,Yandex Translate,44.61684502941239,0.672685113498401,0.8866268396377563,0.9087797403335571,0.8975666165351868
legal_2,Law,Microsoft Translator,48.620553550466546,0.7773296575553946,0.8897438049316406,0.9180828332901001,0.9036912322044373
legal_2,Law,Reverso,45.17802352249835,0.7155754844780293,0.8988352417945862,0.9164876937866211,0.9075756669044495
long_mark_1,Marketing (long-form),Google Translate,29.966584281818196,0.5652154057466694,0.87857985496521,0.8755329251289368,0.8770537972450256
long_mark_1,Marketing (long-form),DeepL,29.961374647831747,0.5669950253077495,0.8771042823791504,0.8741503953933716,0.8756248354911804
long_mark_1,Marketing (long-form),Yandex Translate,29.715044542013597,0.5670596762101033,0.8741261959075928,0.8746381998062134,0.8743821382522583
long_mark_1,Marketing (long-form),Microsoft Translator,29.515626030313317,0.56165526910973,0.8770226836204529,0.8734858632087708,0.8752506971359253
long_mark_1,Marketing (long-form),Reverso,26.078806394392334,0.5399498155918213,0.8682364225387573,0.8693206310272217,0.8687781691551208
mark_1,Marketing,Google Translate,39.318645675010565,0.6942434197272535,0.8738795518875122,0.8757271766662598,0.8748024106025696
mark_1,Marketing,DeepL,35.612853712476614,0.5676474262991156,0.8763031959533691,0.8650319576263428,0.8706311583518982
mark_1,Marketing,Yandex Translate,41.15706931016257,0.6528734648200463,0.8719886541366577,0.8757862448692322,0.8738833665847778
mark_1,Marketing,Microsoft Translator,38.61014357761799,0.7046474646160117,0.8900355696678162,0.8932451605796814,0.8916375041007996
mark_1,Marketing,Reverso,26.706699919771122,0.5336902447709048,0.8001856207847595,0.7907922267913818,0.795461118221283
mark_2,Marketing,Google Translate,28.14919085727892,0.6195338525841492,0.8930046558380127,0.8943436145782471,0.8936735987663269
mark_2,Marketing,DeepL,28.82077278237171,0.5774214447683834,0.8708789944648743,0.8709152936935425,0.870897114276886
